OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2075894,LOP240601000890,E 18TH ST&3RD AV,18TH ST&3RD AV,415,DISTURBING THE PEACE,1717268853000,"[-122.2519964, 37.7997166]",6055504,2118393,C,15X,CCD2,06/01/24  7:07:33 PM,1717285094000,15,3,2
2075895,LOP240601000891,8925 HOLLY ST,HOLLY ST,415C,415 UNKNOWN,1717268860000,"[-122.1732295, 37.7508746]",6077940,2100195,C,34X,CCD7,06/01/24  7:07:40 PM,1717268870000,34,5,3
2075896,LOP240601000893,350 HEGENBERGER RD,HEGENBERGER RD,484LP,STOLEN LICENSE PLATE,1717268958000,"[-122.1974245, 37.73513]",6070842,2094589,C,31Y,CCD7,06/01/24  7:09:18 PM,1717269348000,31,5,3
2075897,LOP240601000892,1539 53RD AV,53RD AV,914,MAKE A PHONE CALL,1717268958000,"[-122.2052422, 37.7695445]",6068810,2107159,C,27Y,CCD6,06/01/24  7:09:18 PM,1717284528000,27,4,3
2075898,LOP240601000894,10950 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1717268958000,"[-122.164552, 37.736456]",6080355,2094901,C,32X,CCD7,06/01/24  7:09:18 PM,1717324357000,32,5,3
2075899,LOP240601000896,6450 CAMDEN ST,CAMDEN ST,911N,POLICE RELATED MATTE,1717269051000,"[-122.1815692, 37.7717798]",6075666,2107849,C,29X,CCD6,06/01/24  7:10:51 PM,1717269077000,29,5,3
2075900,LOP240601000898,27TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,415,DISTURBING THE PEACE,1717269167000,"[-122.2314935, 37.7807451]",6061299,2111376,C,20X,CCD5,06/01/24  7:12:47 PM,1717319747000,20,3,2
2075901,LOP240601000897,3860 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,415C,415 UNKNOWN,1717269163000,"[-122.2687207, 37.8283744]",6050870,2128917,C,06X,CCD1,06/01/24  7:12:43 PM,1717272691000,6,1,1
2075902,LOP240601000899,411 PENDLETON WY,PENDLETON WY,945A,AMBULANCE REQUESTED,1717269211000,"[-122.2001155, 37.7364976]",6070073,2095101,C,31X,CCD7,06/01/24  7:13:31 PM,1717269211000,31,5,3
2075903,LOP240601000902,2019 99TH AV,99TH AV,955E,ANIMAL BITE,1717269361000,"[-122.1623524, 37.7455817]",6081050,2098212,C,32Y,CCD7,06/01/24  7:16:01 PM,1717319499000,32,5,3
